alert_id,opportunity_id,change_type,severity,actionable,supplier_profile,match_score,match_band,title,buyer,country_or_scope,source,previous_value,current_value,status,reason,notice_url,source_health,observed_at
alert_40d8c0be1439c6f5_construction,canadabuys:ws5524669842-doc5524913712,CLASSIFICATION_CHANGED,MEDIUM,yes,construction,75,GOOD,E6HAL-250005-RFI - Indigenous Business Capacity for Construction Projects in Atlantic Canada,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:72000000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_40d8c0be1439c6f5_infrastructure,canadabuys:ws5524669842-doc5524913712,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,E6HAL-250005-RFI - Indigenous Business Capacity for Construction Projects in Atlantic Canada,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:72000000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_4139d75d4f5d6d71_healthcare,canadabuys:ws5778973863-doc5830274558,CLASSIFICATION_CHANGED,MEDIUM,yes,healthcare,75,GOOD,W4299-25SH99B Ready-To-Eat Meals Rations,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,"UNSPSC:50190000,UNSPSC:73130000,UNSPSC:85150000",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110021364?anId=ANONYMOUS,HEALTHY,
alert_41e337cc7731499a_engineering,canadabuys:cb-998-30821848,CLASSIFICATION_CHANGED,MEDIUM,yes,engineering,75,GOOD,"PSIB_Tier 1_NOTICE OF PROPOSED PROCUREMENT (NPP) for TASK BASED INFORMATICS PROFESSIONAL SERVICES (TBIPS) - Individual Affairs Branch (IAB), Regional Operations Strategic Initiative Projects",Department of Indigenous Services (ISC),Canada,canadabuys,,"UNSPSC:80101507,UNSPSC:81110000,UNSPSC:81141902",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_41e337cc7731499a_infrastructure,canadabuys:cb-998-30821848,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,"PSIB_Tier 1_NOTICE OF PROPOSED PROCUREMENT (NPP) for TASK BASED INFORMATICS PROFESSIONAL SERVICES (TBIPS) - Individual Affairs Branch (IAB), Regional Operations Strategic Initiative Projects",Department of Indigenous Services (ISC),Canada,canadabuys,,"UNSPSC:80101507,UNSPSC:81110000,UNSPSC:81141902",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_41e337cc7731499a_professional-services,canadabuys:cb-998-30821848,CLASSIFICATION_CHANGED,MEDIUM,yes,professional-services,75,GOOD,"PSIB_Tier 1_NOTICE OF PROPOSED PROCUREMENT (NPP) for TASK BASED INFORMATICS PROFESSIONAL SERVICES (TBIPS) - Individual Affairs Branch (IAB), Regional Operations Strategic Initiative Projects",Department of Indigenous Services (ISC),Canada,canadabuys,,"UNSPSC:80101507,UNSPSC:81110000,UNSPSC:81141902",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_421fd0bcab66855a_industrial-supplier,canadabuys:ws4157474176-doc4157474240,CLASSIFICATION_CHANGED,MEDIUM,yes,industrial-supplier,75,GOOD,RFSA for Riding Mowers (E60HS 18MOWR B),Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:27110000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/17247015?anId=ANONYMOUS,HEALTHY,
alert_42669a199007e044_engineering,canadabuys:cb-229-53800320,CLASSIFICATION_CHANGED,MEDIUM,yes,engineering,75,GOOD,RFI - Defence Expert Analysis and Assistance (DEAA),Department of Public Works and Government Services (PSPC),Canada,canadabuys,,"UNSPSC:80100000,UNSPSC:80101706,UNSPSC:81162310,UNSPSC:84101501,UNSPSC:84121706,UNSPSC:92110000,UNSPSC:92111902",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_42669a199007e044_infrastructure,canadabuys:cb-229-53800320,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,RFI - Defence Expert Analysis and Assistance (DEAA),Department of Public Works and Government Services (PSPC),Canada,canadabuys,,"UNSPSC:80100000,UNSPSC:80101706,UNSPSC:81162310,UNSPSC:84101501,UNSPSC:84121706,UNSPSC:92110000,UNSPSC:92111902",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_42669a199007e044_professional-services,canadabuys:cb-229-53800320,CLASSIFICATION_CHANGED,MEDIUM,yes,professional-services,75,GOOD,RFI - Defence Expert Analysis and Assistance (DEAA),Department of Public Works and Government Services (PSPC),Canada,canadabuys,,"UNSPSC:80100000,UNSPSC:80101706,UNSPSC:81162310,UNSPSC:84101501,UNSPSC:84121706,UNSPSC:92110000,UNSPSC:92111902",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
